Date_vaw,Open_vaw,High_vaw,Low_vaw,Close_vaw,Volume_vaw,Open_vcr,High_vcr,Low_vcr,Close_vcr,Volume_vcr,Open_vgt,High_vgt,Low_vgt,Close_vgt,Volume_vgt,Open_vfh,High_vfh,Low_vfh,Close_vfh,Volume_vfh,Open_vde,High_vde,Low_vde,Close_vde,Volume_vde,Open_vht,High_vht,Low_vht,Close_vht,Volume_vht,Open_vnq,High_vnq,Low_vnq,Close_vnq,Volume_vnq
2005-02-25,54.737,55.614,54.737,55.594,20156,49.021,49.292,49.021,49.255,2372,41.467,41.7,41.467,41.7,749,45.455,45.882,45.383,45.882,19965,54.515,55.781,54.515,55.623,75982,46.707,47.021,46.602,47.021,122102,39.719,40.308,39.719,40.272,39871
2005-02-28,55.728,55.728,54.855,55.194,47699,49.274,49.274,49.021,49.183,3448,41.862,41.862,41.656,41.656,1174,45.822,45.822,45.49,45.593,16084,56.2,56.339,54.11,55.266,138117,46.8,46.8,46.207,46.476,13375,40.301,40.401,39.749,40.156,72024
2005-03-01,55.418,55.64,55.041,55.13,17578,49.403,49.653,49.403,49.653,2155,41.991,42.057,41.824,42.039,2243,46.042,46.085,45.925,46.075,7072,55.291,55.335,54.076,54.155,54811,46.622,46.791,46.622,46.753,46598,40.079,40.577,40.079,40.577,45622
2005-03-02,54.649,55.263,54.649,55.085,11532,49.589,49.969,49.589,49.784,1723,41.908,42.319,41.908,41.947,1388,45.76,46.199,45.76,45.874,7869,54.11,54.941,54.094,54.899,25748,46.587,47.049,46.587,46.791,160287,40.308,40.499,40.207,40.308,20521
2005-03-03,55.409,55.409,54.855,55.122,28440,49.822,49.822,49.543,49.755,4416,42.029,42.029,41.496,41.756,2350,45.988,45.988,45.576,45.786,13004,55.355,55.773,54.968,55.675,59847,46.883,46.91,46.641,46.724,29446,40.308,40.569,40.224,40.522,12941
2005-03-04,55.737,56.701,55.659,56.595,37288,50.006,50.119,50.006,50.034,2155,42.075,42.075,41.891,41.947,1281,46.094,46.411,46.094,46.411,3991,55.694,56.515,55.448,56.445,35129,46.957,47.049,46.809,47.04,7659,40.744,41.29,40.637,41.29,31634
2005-03-07,56.711,56.711,56.167,56.184,28103,50.211,50.331,50.11,50.284,7004,42.075,42.59,42.075,42.405,5339,46.453,46.671,46.401,46.401,2851,56.339,56.339,55.448,56.035,81933,47.049,47.309,47.049,47.106,21787,41.394,41.8,41.158,41.48,55948
2005-03-08,56.282,56.282,55.818,55.935,28552,50.174,50.174,49.896,49.969,6032,42.451,42.526,42.152,42.152,1922,46.374,46.434,46.295,46.356,2282,56.13,56.383,55.816,55.842,67629,47.153,47.188,46.809,46.847,49294,41.546,41.546,41.09,41.249,21178
2005-03-09,56.122,56.46,55.91,55.91,26647,49.487,49.571,49.274,49.282,2588,41.991,42.311,41.947,42.075,7796,46.155,46.155,45.718,45.75,3762,56.288,56.576,54.409,54.409,120380,46.733,46.818,46.503,46.602,11003,41.249,41.249,40.048,40.079,79346
2005-03-10,55.89,55.89,54.8,55.104,21610,49.357,49.375,49.173,49.357,3555,42.065,42.065,41.601,41.991,5339,45.925,45.925,45.795,45.795,2851,53.71,53.71,52.722,53.211,94863,46.724,46.733,46.54,46.631,7227,39.963,40.491,39.963,40.355,76469
2005-03-11,55.085,55.935,55.085,55.514,19260,49.451,49.459,49.235,49.318,6248,41.947,41.947,41.328,41.401,2776,45.919,45.919,45.409,45.409,2282,53.168,54.199,53.168,53.674,66369,46.578,46.622,46.141,46.217,5825,40.272,40.285,39.896,39.903,27714
2005-03-14,55.649,55.649,55.023,55.389,22396,49.385,49.385,49.264,49.309,2050,41.505,41.62,41.476,41.62,535,45.813,45.813,45.742,45.76,1023,53.849,54.138,52.88,54.042,59504,46.382,46.54,46.123,46.54,5070,40.071,40.455,40.003,40.455,52551
2005-03-15,55.614,55.695,55.185,55.248,26984,49.765,49.822,49.533,49.533,1938,41.553,41.553,41.292,41.292,1388,45.909,45.909,45.611,45.684,2510,54.295,54.505,53.291,53.291,61106,46.891,46.891,46.065,46.065,22650,40.852,41.051,40.347,40.409,67319
2005-03-16,54.89,54.89,54.033,54.11,22171,49.338,49.348,49.116,49.116,7649,41.215,41.32,40.747,40.747,2136,45.446,45.446,45.156,45.234,9467,53.263,54.11,52.766,53.517,63623,45.956,46.01,45.631,45.631,12730,40.392,40.416,39.912,39.926,53333
2005-03-17,54.212,54.87,54.077,54.808,16125,49.348,49.348,49.144,49.301,1938,40.897,41.019,40.776,40.849,5127,45.033,45.208,45.033,45.146,3308,54.331,54.417,53.812,54.312,55271,45.65,45.863,45.501,45.759,11972,40.224,40.468,40.207,40.347,27583
2005-03-18,54.746,54.837,54.39,54.837,16905,49.106,49.106,48.838,48.838,3340,40.606,40.7,40.486,40.486,47848,44.779,44.857,44.779,44.857,2282,54.531,54.985,54.434,54.985,57329,45.825,45.825,45.474,45.575,5716,40.347,40.383,39.963,40.2,29671
2005-03-21,54.855,54.855,54.23,54.435,20268,48.838,48.931,48.513,48.931,3340,40.71,40.719,40.429,40.616,1281,44.788,44.788,44.366,44.473,2510,55.116,55.116,54.101,54.593,68887,45.751,45.759,45.491,45.613,13266,40.117,40.117,39.719,39.933,35424
2005-03-22,54.362,55.122,54.317,54.317,34934,49.011,49.011,48.801,48.801,3340,40.691,40.776,40.26,40.26,1494,44.629,44.629,43.833,43.833,1827,54.697,55.406,53.943,53.989,72549,45.825,45.975,45.567,45.567,6579,40.239,40.239,39.216,39.216,23662
2005-03-23,54.101,54.101,53.586,53.586,34262,48.263,48.354,48.243,48.28,4850,40.335,40.55,40.335,40.495,13139,43.642,43.833,43.642,43.833,2055,53.325,53.325,52.442,52.88,79988,45.595,46.123,45.595,46.075,6579,38.878,39.39,38.764,39.145,32679
2005-03-24,54.05,54.05,53.699,53.817,8285,48.474,48.558,48.364,48.364,3664,40.642,40.823,40.569,40.795,1388,43.743,43.91,43.614,43.667,6847,53.577,53.577,52.327,52.836,256553,46.123,46.411,46.095,46.198,14777,39.024,39.376,38.869,38.916,29541
2005-03-28,53.808,53.808,53.227,53.416,19816,48.688,48.688,48.688,48.688,1184,40.786,40.786,40.523,40.523,535,43.726,43.726,43.707,43.707,569,52.87,53.011,52.401,52.862,48748,46.271,46.29,46.075,46.114,44116,38.941,38.941,38.657,38.724,36209
2005-03-29,53.199,53.63,51.96,51.977,30568,48.549,48.671,48.151,48.151,5281,40.381,40.55,40.102,40.102,5234,43.66,43.902,43.66,43.66,5932,52.905,53.413,51.926,51.926,49091,46.019,46.217,45.807,45.835,41204,38.771,39.069,38.641,38.741,30720
2005-03-30,52.486,52.657,52.21,52.504,26201,48.354,48.705,48.354,48.623,1617,40.4,40.757,40.4,40.757,3310,43.667,43.962,43.667,43.867,1597,52.327,52.627,51.174,52.627,43713,45.985,46.457,45.985,46.457,37861,38.764,39.251,38.764,39.251,31505
2005-03-31,53.237,53.398,53.06,53.193,13215,48.903,48.903,48.782,48.782,323,40.738,40.813,40.633,40.681,12283,43.91,44.017,43.91,44.017,2282,53.464,53.812,53.387,53.728,90858,46.411,46.411,46.114,46.235,11543,39.298,39.565,39.069,39.16,86924
2005-04-01,53.559,53.87,52.96,53.199,37844,49.173,49.173,48.354,48.522,5495,40.98,40.98,40.296,40.4,5555,44.209,44.209,43.296,43.305,5704,54.434,55.021,54.189,55.003,98181,46.392,46.401,45.669,45.882,19417,39.743,39.743,38.878,39.184,32422
2005-04-04,52.817,52.933,52.469,52.855,17578,48.29,48.346,48.102,48.263,862,40.296,40.55,40.156,40.55,962,43.394,43.761,43.22,43.761,51560,55.179,55.493,54.11,54.602,78040,45.882,46.104,45.788,46.104,8198,39.095,39.095,38.634,39.009,35685
2005-04-05,52.995,53.112,52.907,52.95,11757,48.696,48.884,48.696,48.828,1511,40.588,40.588,40.439,40.448,1174,43.761,43.842,43.743,43.743,5820,54.593,54.705,53.674,53.858,41882,46.262,46.827,46.262,46.827,8198,39.069,39.145,38.84,38.916,29281
2005-04-06,53.166,53.443,53.166,53.255,12540,48.893,48.931,48.696,48.705,6142,40.633,40.7,40.513,40.513,4912,43.971,44.172,43.943,44.026,4904,53.894,54.968,53.701,54.819,44857,46.928,47.245,46.928,46.976,56521,39.077,39.323,39.046,39.121,26536
2005-04-07,53.443,53.666,53.318,53.666,10749,48.588,48.893,48.588,48.856,1617,40.579,40.841,40.579,40.841,1922,44.026,44.224,44.026,44.138,1482,55.247,55.291,54.076,54.565,46916,46.743,47.412,46.733,47.355,8520,39.298,39.581,39.225,39.476,37257
2005-04-08,53.63,53.63,52.916,52.916,16234,49.059,49.059,48.558,48.578,2588,40.878,40.915,40.616,40.616,1710,44.052,44.052,43.805,43.886,3308,54.434,54.593,53.684,53.684,44285,47.383,47.412,47.002,47.077,86614,39.536,39.557,39.298,39.298,52680
2005-04-11,52.7,52.7,52.389,52.692,10524,48.346,48.447,48.346,48.447,432,40.681,40.681,40.278,40.373,1710,43.981,43.981,43.779,43.953,1597,53.658,54.008,53.062,53.927,39706,47.188,47.188,46.919,46.919,19093,39.337,39.352,39.184,39.337,28499
2005-04-12,52.426,52.863,51.8,52.827,11757,48.263,48.633,47.983,48.633,6896,40.044,40.439,39.839,40.439,2991,43.69,43.771,43.642,43.642,4564,53.71,53.71,52.773,53.141,19912,46.957,47.309,46.587,47.309,25672,39.298,39.879,39.16,39.864,57909
2005-04-13,52.246,52.246,51.04,51.236,25867,48.641,48.641,48.087,48.087,1938,40.195,40.195,39.839,39.856,641,44.401,44.401,43.743,43.743,2851,52.714,53.203,51.7,51.822,104016,47.309,47.642,47.135,47.422,19632,39.955,40.086,39.827,39.912,41834
2005-04-14,50.717,50.817,49.494,49.807,20268,47.992,47.992,47.538,47.612,4416,39.794,39.794,39.341,39.351,7371,43.642,43.642,43.456,43.456,3423,52.241,52.327,51.341,51.559,70030,47.468,47.475,47.179,47.28,51558,39.912,40.003,39.528,39.528,32158
2005-04-15,49.218,49.763,48.441,48.441,22059,47.008,47.074,46.406,46.479,3664,38.555,38.745,38.022,38.022,5555,43.497,43.523,42.868,42.868,7643,51.148,51.314,49.506,49.532,124616,47.672,47.92,47.503,47.605,85751,39.634,39.872,39.467,39.827,36342
2005-04-18,48.665,49.441,48.441,49.306,25192,46.377,46.592,46.266,46.517,5709,38.014,38.266,38.014,38.258,2243,43.027,43.322,42.963,43.22,10380,49.069,50.502,49.06,50.407,87425,47.442,47.442,46.809,47.163,127496,39.827,39.842,39.383,39.765,41701
2005-04-19,49.817,50.29,49.817,50.237,9965,46.701,46.701,46.489,46.582,5925,38.583,38.659,38.407,38.659,6728,43.42,43.474,43.305,43.385,3536,51.038,51.841,51.038,51.638,25517,47.327,47.327,46.91,47.261,17045,39.804,39.971,39.804,39.963,31505
